replication,covariate,entry_to_stressed_AME,exit_to_calm_AME,convergence_code
51,depth_tilde,-0.050144814579665,0.0416112201823249,0
51,rv_tilde,-0.0244470664080195,-0.0538435890647331,0
51,abs_ofi_tilde,-0.00205796617833735,-0.0330478874774141,0
51,open_dummy,-0.0374782366371439,0.00410904247155726,0
51,close_dummy,-0.0296514828768087,-0.0215346480094405,0
52,depth_tilde,-0.0482042762486095,0.0449939348245675,0
52,rv_tilde,-0.0222776282877174,-0.054066727902822,0
52,abs_ofi_tilde,-0.00342590316774232,-0.0281281427024576,0
52,open_dummy,-0.0319003851464336,-0.000479221965632309,0
52,close_dummy,-0.0189115264315581,-0.0270679020067832,0
53,depth_tilde,-0.0498964849018328,0.0420322394927468,0
53,rv_tilde,-0.0203552785977372,-0.0493830868919258,0
53,abs_ofi_tilde,-0.00178668958699217,-0.0388377890346845,0
53,open_dummy,-0.0338654712350511,0.0104450712654802,0
53,close_dummy,-0.0303558834853159,-0.0308927813647734,0
54,depth_tilde,-0.0502387022176596,0.0388741396135902,0
54,rv_tilde,-0.0260070625851712,-0.0535643414869088,0
54,abs_ofi_tilde,-0.00449407341224891,-0.0312117743729308,0
54,open_dummy,-0.0404669733455164,-0.0257947573250231,0
54,close_dummy,-0.0212293366139905,-0.00976344631945761,0
55,depth_tilde,-0.0516951226457255,0.0434798347582202,0
55,rv_tilde,-0.0158689467768463,-0.052320770817341,0
55,abs_ofi_tilde,-0.00218586993871268,-0.0388849172026575,0
55,open_dummy,-0.0385811701846092,-0.00489400218023175,0
55,close_dummy,-0.0217537989177558,-0.0243745906833302,0
56,depth_tilde,-0.0501299623884175,0.0453530036547245,0
56,rv_tilde,-0.0135659864908159,-0.0585321200711419,0
56,abs_ofi_tilde,0.000229534976142107,-0.051277423307067,0
56,open_dummy,-0.0419761383868923,-0.005049047885097,0
56,close_dummy,-0.0169549429628036,-0.0412971449813255,0
57,depth_tilde,-0.0506229019375124,0.043256514272245,0
57,rv_tilde,-0.016770534897741,-0.057848918758725,0
57,abs_ofi_tilde,-0.00412113010754051,-0.0406561604993692,0
57,open_dummy,-0.0408518488712121,-0.00314471338547313,0
57,close_dummy,-0.0224499740044646,-0.0341683945312127,0
58,depth_tilde,-0.0497621960807802,0.0442957177228932,0
58,rv_tilde,-0.0256704404303374,-0.0480032156932923,0
58,abs_ofi_tilde,-0.00177427957652372,-0.0257099778835059,0
58,open_dummy,-0.0185539414783706,-0.0105320834867405,0
58,close_dummy,-0.0144832641315735,-0.0321357124003291,0
59,depth_tilde,-0.0498579735174392,0.0432850191315264,0
59,rv_tilde,-0.0191748179083767,-0.0469724110282722,0
59,abs_ofi_tilde,-0.00312873377308862,-0.0286155164665343,0
59,open_dummy,-0.031430906340674,0.00609530120501446,0
59,close_dummy,-0.0157039892790267,-0.00518082785974703,0
60,depth_tilde,-0.0509240235599889,0.0423709397581388,0
60,rv_tilde,-0.0265808527239749,-0.0381149648891479,0
60,abs_ofi_tilde,-0.0011575817363687,-0.0310799052843888,0
